ghost,id_code,id_sup,family,gender,species,variant,cultivar,description,sun_exposure,watering,commercial_name,synonyms_list,easy_seed_matching
,NoId-1,,Marantaceae,Calathea,rufibarba,,Wave Star,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea wavestar,"Calathea rufibarba, Calathea velours",Plant1
,NoId-2,,Marantaceae,Calathea,crocata,,Eternal Flame,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea crocata,Calathea 'Eternal flame',Plant2
,853358,,Marantaceae,Calathea,roseopicta,,medaillon,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea medaillon,Calathea 'medaillon',Plant3
,853395,,Marantaceae,Calathea,warscewiczii,,,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea warscewiczii,,Plant4
,NoId-5,,Marantaceae,Calathea,sanguinea,,Trio Star,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea triostar,Stromanthe sanguinea 'Triostar',Plant5
,853353,,Marantaceae,Calathea,ornata,sanderiana,,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea ornata sanderiana,,Plant6
,NoId-7,,Marantaceae,Calathea,musaica,,Network,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea network,Calathea musaica 'Network',Plant7
,NoId-8,,Marantaceae,Calathea,roseopicta,,flamestar,"Le calathea est une plante originaire d'Amérique du Sud. Elle se plaît sous les climats chauds et humides ; sous nos latitudes, on la cultive comme une plante d'intérieur.

Son feuillage est très ornemental : les feuilles (généralement vertes à revers pourpre) sont arrondies, ovales ou lancéolées selon les espèces, et offrent des motifs contrastés, dans des tons de vert clair, de vert foncé, de crème, de rose ou de brun. La plante atteint généralement une hauteur de 40 à 60 cm, et les feuilles peuvent mesurer jusqu'à 60 cm de long. La croissance du calathea est lente : il ne produit que 2 à 3 nouvelles feuilles chaque année... mais quelles feuilles !",zone sombre,2 fois par semaine,Calathea flamestar,"Calathea 'flamestar', Prayer plant",Plant8
,NoId-9,,Asparagaceae,Sansevieria,fernwood,,Punk,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria fernwood 'Punk',,Plant9
,NoId-16,,Asparagaceae,Sansevieria,jiboia,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria jiboia,,Plant10
,NoId-10,,Asparagaceae,Sansevieria,katana,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria katana,,Plant11
,448720,,Asparagaceae,Sansevieria,laurentii,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria laurentii,,Plant12
,NoId-11,,Asparagaceae,Sansevieria,mikado,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria mikado,,Plant13
,NoId-12,,Asparagaceae,Sansevieria,fernwood,,Mikado,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria fernwood 'Mikado',,Plant14
,NoId-13,,Asparagaceae,Sansevieria,robusta,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria robusta,,Plant15
,NoId-14,,Asparagaceae,Sansevieria,straight,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria straight,,Plant16
,447702,,Asparagaceae,Sansevieria,cylndrica,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria cylindrica,,Plant17
,NoId-16,,Asparagaceae,Sansevieria,zeylanica,,,"La langue de belle-mère est habituée à la chaleur, étant originaire entre autres d’Éthiopie.
Vous aimez avoir le choix? Tant mieux, car il existe environ 70 variétés de langues de belle-mère. Les feuilles se caractérisent par une couleur gris-vert à rayures, à taches et à bord jaune.Vous préférez un peu plus foncé ? Éloignez-la un peu de la fenêtre. Plus claire ? Rapprochez-la de la fenêtre. Les feuilles ont de robustes pointes qui semblent sortir droit de la terre. Ces pointes ne dépassent que rarement le mètre de hauteur. La croissance est très puissante à tel point que ces racines peuvent faire éclater le pot s’il devient trop petit. La plante fleurit rarement mais, lorsqu’elle fleurit, vous récompense avec un délicieux parfum sucré. ",ensoleillé,si la terre est sèche,Sansevieria zylanica,,Plant18